#Organism/Name,Kingdom,Group,SubGroup,Plasmid Name,RefSeq,INSDC,Size (Kb),GC%,Protein,rRNA,tRNA,Other RNA,Gene,Pseudogene,Release Date,Modify Date
"Lactococcus lactis subsp. lactis bv. diacetylactis str. DPC3901",Bacteria,"Terrabacteria group","Firmicutes",pVF21,NC_015912.1,JN172911,21.728,33.5926,14,-,-,-,16,2,2011/08/02,2014/12/17
"Lactococcus lactis subsp. lactis CV56",Bacteria,"Terrabacteria group","Firmicutes",pCV56A,NC_017483.1,CP002366,44.098,32.0831,41,-,-,-,42,1,2012/05/01,2015/08/18
"Lactococcus lactis subsp. lactis CV56",Bacteria,"Terrabacteria group","Firmicutes",pCV56C,NC_017484.1,CP002368,31.442,32.4916,27,-,-,-,30,3,2012/05/01,2015/08/18
"Lactococcus lactis subsp. lactis CV56",Bacteria,"Terrabacteria group","Firmicutes",pCV56D,NC_017485.1,CP002369,5.543,32.2389,6,-,-,-,7,1,2012/05/01,2015/08/18
"Lactococcus lactis subsp. lactis CV56",Bacteria,"Terrabacteria group","Firmicutes",pCV56B,NC_017487.1,CP002367,35.934,34.5383,31,-,-,-,35,4,2012/05/01,2015/08/18
"Lactococcus lactis subsp. lactis CV56",Bacteria,"Terrabacteria group","Firmicutes",pCV56E,NC_017488.1,CP002370,2.262,33.8196,4,-,-,-,4,-,2012/05/01,2015/08/18
"Lactococcus lactis subsp. lactis KF147",Bacteria,"Terrabacteria group","Firmicutes",pKF147A,NC_013657.1,CP001835,37.51,32.3834,32,-,-,-,35,3,2009/12/22,2015/08/12
"Lactococcus lactis subsp. lactis KLDS 4.0325",Bacteria,"Terrabacteria group","Firmicutes",1,NC_022587.1,CP006767,4.094,30.0195,4,-,-,-,5,1,2013/10/28,2015/08/18
"Lactococcus lactis subsp. lactis KLDS 4.0325",Bacteria,"Terrabacteria group","Firmicutes",2,NZ_CP007042.1,CP007042,0.87,32.6437,2,-,-,-,2,-,2015/03/01,2015/08/18
"Lactococcus lactis subsp. lactis KLDS 4.0325",Bacteria,"Terrabacteria group","Firmicutes",3,NZ_CP007043.1,CP007043,1.278,32.6291,4,-,-,-,4,-,2015/03/01,2015/08/18
"Lactococcus lactis subsp. lactis NCDO 2118",Bacteria,"Terrabacteria group","Firmicutes",pNCDO2118,NZ_CP009055.1,CP009055,37.571,32.3281,32,-,-,-,35,3,2015/01/21,2015/08/16
"Lactococcus piscium MKFS47",Bacteria,"Terrabacteria group","Firmicutes",II,NZ_LN774770.1,LN774770,55.671,32.4621,63,-,-,-,64,1,2015/04/02,2016/08/21
"Lactococcus piscium MKFS47",Bacteria,"Terrabacteria group","Firmicutes",III,NZ_LN774771.1,LN774771,53.257,35.3324,59,-,-,-,61,2,2015/04/02,2016/08/21
"Laribacter hongkongensis",Bacteria,"Proteobacteria","Betaproteobacteria",pHLHK8,NC_006628.1,AY858987,8.266,53.9318,4,-,-,-,4,-,2005/01/14,2014/12/18
"Laribacter hongkongensis",Bacteria,"Proteobacteria","Betaproteobacteria",pHLHK22,NC_010370.1,EF679779,15.665,61.1108,12,-,-,-,12,-,2008/03/25,2014/12/17
"Lawsonia intracellularis N343",Bacteria,"Proteobacteria","delta/epsilon subdivisions",1,NC_020128.1,CP004030,27.133,29.0384,30,-,-,-,31,1,2013/01/15,2015/08/14
"Lawsonia intracellularis N343",Bacteria,"Proteobacteria","delta/epsilon subdivisions",2,NC_020129.1,CP004031,39.878,29.2191,28,-,-,-,28,-,2013/01/15,2015/08/14
"Lawsonia intracellularis N343",Bacteria,"Proteobacteria","delta/epsilon subdivisions",3,NC_020130.1,CP004032,194.613,32.9063,110,-,-,-,111,1,2013/01/15,2015/08/14
"Lawsonia intracellularis PHE/MN1-00",Bacteria,"Proteobacteria","delta/epsilon subdivisions",1,NC_008012.1,AM180253,27.048,29.0484,29,-,-,-,30,1,2006/05/04,2015/08/13
"Lawsonia intracellularis PHE/MN1-00",Bacteria,"Proteobacteria","delta/epsilon subdivisions",2,NC_008013.1,AM180254,39.794,29.2331,28,-,-,-,28,-,2006/05/04,2015/08/13
"Lawsonia intracellularis PHE/MN1-00",Bacteria,"Proteobacteria","delta/epsilon subdivisions",3,NC_008014.1,AM180255,194.553,32.9093,111,-,-,-,112,1,2006/05/04,2015/08/13
"Legionella fallonii LLAP-10",Bacteria,"Proteobacteria","Gammaproteobacteria",II,NZ_LN614828.1,LN614828,238.761,39.0604,224,-,-,-,229,5,2014/10/21,2016/08/01
"Legionella fallonii LLAP-10",Bacteria,"Proteobacteria","Gammaproteobacteria",III,NZ_LN614829.1,LN614829,14.566,35.473,13,-,-,-,13,-,2014/10/21,2016/08/01
"Legionella hackeliae",Bacteria,"Proteobacteria","Gammaproteobacteria",II,NZ_LN681226.1,LN681226,129.882,37.4571,130,-,-,-,137,7,2014/12/09,2016/08/01
"Legionella longbeachae NSW150",Bacteria,"Proteobacteria","Gammaproteobacteria",pLLO,NC_014544.1,FN650141,71.826,38.1881,67,-,-,-,71,4,2010/02/13,2015/07/30
"Legionella oakridgensis ATCC 33761 = DSM 21215",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP004007.1,CP004007,50.245,39.8388,42,-,-,-,43,1,2015/02/08,2015/08/18
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP011106.1,CP011106,143.694,38.0378,144,-,-,-,152,8,2016/04/07,2016/04/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",2,NZ_LT598658.1,LT598658,129.881,37.4574,131,-,-,-,138,7,2016/07/09,2016/07/20
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015940.1,CP015940,58.092,38.1946,52,-,-,-,54,2,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015942.1,CP015942,33.359,39.6265,34,-,-,-,35,1,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unamed2,NZ_CP015943.1,CP015943,73.576,39.0345,71,-,-,-,74,3,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015948.1,CP015948,71.453,39.0942,67,-,-,-,71,4,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015952.1,CP015952,73.576,39.0331,71,-,-,-,73,2,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed1,NZ_CP015957.1,CP015957,48.354,38.3877,47,-,-,-,50,3,2016/10/07,2016/10/07
"Legionella pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP016031.1,CP016031,129.884,37.4573,132,-,-,-,138,6,2016/06/30,2016/10/09
"Legionella pneumophila str. Lens",Bacteria,"Proteobacteria","Gammaproteobacteria",pLPL,NC_006366.1,CR628339,59.832,38.3858,52,-,-,-,53,1,2004/10/03,2015/08/13
"Legionella pneumophila str. Paris",Bacteria,"Proteobacteria","Gammaproteobacteria",pLPP,NC_006365.1,CR628338,131.885,37.4387,134,-,-,-,140,6,2004/10/03,2015/08/13
"Legionella pneumophila subsp. pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",pLELO,NC_018141.1,FQ958212,150.432,38.0896,151,-,-,-,157,6,2012/07/11,2016/08/01
"Legionella pneumophila subsp. pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP016869.1,CP016869,68.145,38.4636,60,-,-,-,62,2,2016/10/17,2016/10/17
"Legionella pneumophila subsp. pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP016871.1,CP016871,68.145,38.4636,61,-,-,-,63,2,2016/10/17,2016/10/17
"Legionella pneumophila subsp. pneumophila",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NZ_CP016875.1,CP016875,68.146,38.463,61,-,-,-,63,2,2016/10/17,2016/10/17
"Legionella pneumophila subsp. pneumophila LPE509",Bacteria,"Proteobacteria","Gammaproteobacteria",unnamed,NC_020522.1,CP003886,73.49,40.3402,70,-,-,-,77,7,2013/03/25,2015/08/14
"Leisingera methylohalidivorans DSM 14336",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed2,NC_023136.1,CP006775,285.395,61.6202,234,-,-,-,258,24,2013/12/20,2015/08/18
"Leisingera methylohalidivorans DSM 14336",Bacteria,"Proteobacteria","Alphaproteobacteria",unnamed,NC_023146.1,CP006774,220.701,62.4664,187,-,-,-,198,11,2013/12/20,2015/08/18
"Leptolyngbya boryana",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pPBS1,NC_002141.1,AF176225,1.511,47.1211,-,-,-,-,-,-,1999/09/05,2014/12/17
"Leptolyngbya foveolarum",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",Plasmid pPF1,NC_002061.1,D10842,1.509,47.051,2,-,-,-,2,-,1993/04/28,2014/12/17
"Leptolyngbya sp. NIES-3755",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",plasmid1,NZ_AP017309.1,AP017309,325.675,47.0134,290,-,-,-,315,25,2016/08/19,2016/11/25
"Leptolyngbya sp. NIES-3755",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",plasmid2,NZ_AP017310.1,AP017310,98.206,48.5449,51,-,-,-,57,6,2016/08/19,2016/11/25
"Leptolyngbya sp. NIES-3755",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",plasmid3,NZ_AP017311.1,AP017311,92.964,47.3474,97,-,-,-,100,3,2016/08/19,2016/11/25
"Leptolyngbya sp. PCC 6402",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pRF1,NC_004964.1,S46711,4.194,43.6814,6,-,-,-,7,-,2003/07/07,2014/12/18
"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'",Bacteria,"Spirochaetes","Spirochaetia",p74,NC_010846.1,CP000779,74.117,37.4664,60,-,-,-,60,-,2008/06/10,2015/07/30
"Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'",Bacteria,"Spirochaetes","Spirochaetia",p74,NC_010844.1,CP000788,74.116,37.4683,59,-,-,-,60,1,2008/06/10,2015/07/30
"Leptospira borgpetersenii serovar Ballum",Bacteria,"Spirochaetes","Spirochaetia",lbp1,NZ_CP012031.1,CP012031,65.435,41.0331,44,-,1,-,54,9,2015/12/09,2015/12/09
"Leptospira borgpetersenii serovar Ballum",Bacteria,"Spirochaetes","Spirochaetia",lbp2,NZ_CP012032.1,CP012032,59.545,39.6524,40,-,-,-,43,3,2015/12/09,2015/12/09
"Leptospira interrogans",Bacteria,"Spirochaetes","Spirochaetia",pGui1,NC_025136.1,KF648557,74.981,34.6314,62,-,-,-,62,-,2014/09/29,2014/12/18
"Leptospira interrogans",Bacteria,"Spirochaetes","Spirochaetia",Laicp,NC_025151.1,KJ586855,64.215,34.6368,60,-,-,-,60,-,2014/09/29,2014/12/18
"Leptospira interrogans",Bacteria,"Spirochaetes","Spirochaetia",pGui2,NC_025197.1,KF648558,66.851,33.3338,63,-,-,-,63,-,2014/09/29,2014/12/18
"Leptospira interrogans serovar Linhai str. 56609",Bacteria,"Spirochaetes","Spirochaetia",lcp1,NZ_CP006725.1,CP006725,67.282,35.913,74,-,-,-,75,1,2015/03/19,2015/08/19
"Leptospira interrogans serovar Linhai str. 56609",Bacteria,"Spirochaetes","Spirochaetia",lcp2,NZ_CP006726.1,CP006726,56.757,34.6671,50,-,-,-,53,3,2015/03/19,2015/08/19
"Leptospira interrogans serovar Linhai str. 56609",Bacteria,"Spirochaetes","Spirochaetia",lcp3,NZ_CP006727.1,CP006727,54.986,39.4282,86,-,-,-,88,2,2015/03/19,2015/08/19
"Leptospira interrogans serovar Manilae",Bacteria,"Spirochaetes","Spirochaetia",pLIMLP1,NZ_CP011933.1,CP011933,70.055,34.5371,65,-,-,-,69,4,2015/07/13,2015/08/21
"Leptospira interrogans serovar Manilae",Bacteria,"Spirochaetes","Spirochaetia",pLIMHP1,NZ_CP011936.1,CP011936,70.055,34.5371,65,-,-,-,69,4,2015/07/13,2015/08/21
"Leptospirillum ferrooxidans",Bacteria,"Nitrospirae","Nitrospira",p49879.1,NC_006907.1,AY941098,28.878,57.7706,32,-,-,-,32,-,2005/04/11,2014/12/17
"Leptospirillum ferrooxidans",Bacteria,"Nitrospirae","Nitrospira",p49879.2,NC_006909.1,AY941099,28.012,55.1871,33,-,-,-,33,-,2005/04/04,2014/12/17
"Leuconostoc carnosum JB16",Bacteria,"Terrabacteria group","Firmicutes",pKLC1,NC_018674.1,CP003852,21.99,38.0264,17,-,-,-,20,3,2012/10/01,2015/08/14
"Leuconostoc carnosum JB16",Bacteria,"Terrabacteria group","Firmicutes",pKLC3,NC_018675.1,CP003854,40.165,35.2919,43,-,-,-,44,1,2012/10/01,2015/08/14
"Leuconostoc carnosum JB16",Bacteria,"Terrabacteria group","Firmicutes",pKLC2,NC_018698.1,CP003853,29.615,35.4955,31,-,-,-,33,2,2012/10/01,2015/08/14
"Leuconostoc carnosum JB16",Bacteria,"Terrabacteria group","Firmicutes",pKLC4,NC_018699.1,CP003855,36.602,34.9298,36,-,-,-,38,2,2012/10/01,2015/08/14
"Leuconostoc citreum",Bacteria,"Terrabacteria group","Firmicutes",pLC22R,NC_004528.1,AJ493278,9.935,32.9341,10,-,-,-,12,-,2003/01/08,2014/12/18
"Leuconostoc citreum",Bacteria,"Terrabacteria group","Firmicutes",pIH01,NC_006822.1,AY737645,1.822,39.2426,1,-,-,-,1,-,2005/02/04,2014/12/18
"Leuconostoc citreum",Bacteria,"Terrabacteria group","Firmicutes",pCB42,NC_010312.2,AB360637,4.312,34.5779,6,-,-,-,6,-,2008/02/06,2014/12/18
"Leuconostoc citreum",Bacteria,"Terrabacteria group","Firmicutes",pCC3,NC_012562.1,FJ040197,3.338,33.2235,3,-,-,-,3,-,2009/04/17,2014/12/18
"Leuconostoc citreum",Bacteria,"Terrabacteria group","Firmicutes",pNS75,NC_025158.1,AY790924,1.821,39.2092,1,-,-,-,1,-,2014/09/29,2014/12/18
"Leuconostoc citreum KM20",Bacteria,"Terrabacteria group","Firmicutes",pLCK2,NC_010466.1,DQ489737,31.463,37.9652,29,-,-,-,35,6,2008/03/17,2015/07/30
"Leuconostoc citreum KM20",Bacteria,"Terrabacteria group","Firmicutes",pLCK3,NC_010467.1,DQ489738,17.971,33.0032,20,-,-,-,21,1,2008/03/17,2015/07/30
"Leuconostoc citreum KM20",Bacteria,"Terrabacteria group","Firmicutes",pLCK4,NC_010469.1,DQ489739,12.183,36.9121,14,-,-,-,14,-,2008/03/17,2015/07/30
"Leuconostoc citreum KM20",Bacteria,"Terrabacteria group","Firmicutes",pLCK1,NC_010470.1,DQ489740,38.713,37.3905,37,-,-,-,43,6,2008/03/17,2015/07/30
"Leuconostoc garlicum",Bacteria,"Terrabacteria group","Firmicutes",unnamed1,-,CP016330,38.64,37.9581,31,-,-,-,34,3,2017/02/13,2017/02/13
"Leuconostoc garlicum",Bacteria,"Terrabacteria group","Firmicutes",unnamed2,-,CP016331,13.059,37.1545,15,-,-,-,17,2,2017/02/13,2017/02/13
"Leuconostoc gelidum subsp. gasicomitatum KG16-1",Bacteria,"Terrabacteria group","Firmicutes",II,NZ_LN890332.1,LN890332,35.714,37.2459,34,-,-,-,36,2,2016/01/20,2016/01/26
"Leuconostoc gelidum subsp. gasicomitatum KG16-1",Bacteria,"Terrabacteria group","Firmicutes",III,NZ_LN890333.1,LN890333,29.494,31.9353,32,-,-,-,32,-,2016/01/20,2016/01/26
"Leuconostoc gelidum subsp. gasicomitatum KG16-1",Bacteria,"Terrabacteria group","Firmicutes",IV,NZ_LN890334.1,LN890334,19.683,38.6628,15,-,-,-,18,3,2016/01/20,2016/01/26
"Leuconostoc kimchii IMSNU 11154",Bacteria,"Terrabacteria group","Firmicutes",LkipL4701,NC_014131.1,CP001753,21.055,34.2531,18,-,-,-,19,1,2010/05/12,2015/07/30
"Leuconostoc kimchii IMSNU 11154",Bacteria,"Terrabacteria group","Firmicutes",LkipL4704,NC_014132.1,CP001754,23.275,35.5489,19,-,-,-,19,-,2010/05/17,2015/07/30
"Leuconostoc kimchii IMSNU 11154",Bacteria,"Terrabacteria group","Firmicutes",LkipL4719,NC_014133.1,CP001755,21.924,39.085,18,-,-,-,19,1,2010/05/17,2015/07/30
"Leuconostoc kimchii IMSNU 11154",Bacteria,"Terrabacteria group","Firmicutes",LkipL4726,NC_014134.1,CP001756,29.616,35.5078,30,-,-,-,32,2,2010/05/17,2015/07/30
"Leuconostoc kimchii IMSNU 11154",Bacteria,"Terrabacteria group","Firmicutes",LkipL48,NC_014135.1,CP001757,3.196,37.0776,4,-,-,-,4,-,2010/05/12,2015/07/30
"Leuconostoc lactis",Bacteria,"Terrabacteria group","Firmicutes",pWK40-1,NZ_CP016599.1,CP016599,20.388,34.2309,19,-,-,-,21,2,2016/08/21,2016/08/21
"Leuconostoc lactis",Bacteria,"Terrabacteria group","Firmicutes",pWK40-2,NZ_CP016600.1,CP016600,19.726,39.8966,10,-,-,-,12,2,2016/08/21,2016/08/21
"Leuconostoc lactis",Bacteria,"Terrabacteria group","Firmicutes",pWK40-3,NZ_CP016601.1,CP016601,10.453,35.5209,10,-,-,-,11,1,2016/08/21,2016/08/21
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pTXL1,NC_005702.1,AJ272077,2.665,34.1463,3,-,-,-,3,-,2000/02/22,2014/12/17
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pFR18,NC_006145.1,Z99436,1.828,37.2538,1,-,-,-,1,-,1998/03/17,2014/12/18
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pFMBL1,NC_007207.1,AY648696,4.661,31.4525,2,-,-,-,2,-,2005/08/01,2014/12/17
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pMBLR00,NC_019353.1,JN106353,3.37,36.4985,3,-,-,-,3,-,2012/11/04,2014/12/17
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pDRC1,NZ_CP014612.1,CP014612,46.169,36.8667,38,-,-,-,51,13,2016/12/03,2016/12/03
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pDRC2,NZ_CP014613.1,CP014613,24.244,35.4521,15,-,-,-,27,12,2016/12/03,2016/12/03
"Leuconostoc mesenteroides",Bacteria,"Terrabacteria group","Firmicutes",pDRC3,NZ_CP014614.1,CP014614,20.026,36.4876,18,-,-,-,20,2,2016/12/03,2016/12/03
"Leuconostoc mesenteroides subsp. dextranicum",Bacteria,"Terrabacteria group","Firmicutes",pDSM20484,NZ_CP012010.1,CP012010,36.094,39.9873,26,-,-,-,27,1,2015/07/09,2015/08/21
"Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293",Bacteria,"Terrabacteria group","Firmicutes",pLEUM1,NC_008496.1,CP000415,37.367,35.3922,38,-,-,-,45,7,2006/10/21,2015/07/30
"Leuconostoc mesenteroides subsp. mesenteroides J18",Bacteria,"Terrabacteria group","Firmicutes",pKLE02,NC_016820.2,CP003103,35.428,35.1473,32,-,-,-,39,7,2012/03/09,2016/01/27
"Leuconostoc mesenteroides subsp. mesenteroides J18",Bacteria,"Terrabacteria group","Firmicutes",pKLE03,NC_016821.2,CP003104,24.548,38.2842,23,-,-,-,24,1,2012/03/27,2016/01/27
"Leuconostoc mesenteroides subsp. mesenteroides J18",Bacteria,"Terrabacteria group","Firmicutes",pKLE01,NC_016827.2,CP003102,37.252,34.8465,42,-,-,-,43,1,2012/03/09,2016/01/27
"Leuconostoc mesenteroides subsp. mesenteroides J18",Bacteria,"Terrabacteria group","Firmicutes",pKLE04,NC_016828.2,CP003105,19.293,35.1578,13,-,-,-,14,1,2012/03/09,2016/01/27
"Leuconostoc mesenteroides subsp. suionicum",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NZ_CP015248.1,CP015248,21.983,36.9604,23,-,-,-,25,2,2016/12/18,2016/12/18
"Limnothrix rosea IAM M-220",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pNIES208a,NZ_CM007612.1,CM007612,73.363,44.5756,54,-,-,-,59,5,2017/01/16,2017/01/16
"Limnothrix rosea IAM M-220",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pNIES208b,NZ_CM007613.1,CM007613,21.2,44.3585,26,-,-,-,26,-,2017/01/16,2017/01/16
"Limnothrix rosea IAM M-220",Bacteria,"Terrabacteria group","Cyanobacteria/Melainabacteria group",pNIES208c,NZ_CM007614.1,CM007614,13.463,44.9454,19,-,-,-,20,1,2017/01/16,2017/01/16
"Listeria grayi DSM 20601",Bacteria,"Terrabacteria group","Firmicutes",pLGUG1,NC_014496.1,FR667693,79.249,36.7828,88,-,-,-,88,-,2010/09/08,2014/12/17
"Listeria innocua",Bacteria,"Terrabacteria group","Firmicutes",pDB2011,NC_021513.1,KC456362,7.641,31.3702,7,-,-,-,7,-,2013/07/01,2014/12/18
"Listeria innocua Clip11262",Bacteria,"Terrabacteria group","Firmicutes",pLI100,NC_003383.1,AL592102,81.905,35.5204,73,-,-,-,80,7,2001/10/21,2016/08/01
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pCFSAN008100,NZ_CP011399.1,CP011399,68.224,35.6693,85,-,-,-,88,3,2015/05/13,2016/03/09
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pLmN1546,NZ_CP013725.1,CP013725,86.616,36.9805,85,-,-,-,90,5,2016/01/03,2016/01/03
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",CFSAN023459_01,NZ_CP014253.1,CP014253,12.949,36.358,12,-,-,-,15,3,2016/02/05,2016/02/05
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",CFSAN023459_02,NZ_CP014254.1,CP014254,52.687,35.0504,58,-,-,-,66,8,2016/02/05,2016/02/05
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pCFSAN010068_01,NZ_CP014251.1,CP014251,55.521,36.7014,52,-,-,-,56,4,2016/02/05,2016/02/05
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pl2015TE24968,NZ_CP015985.1,CP015985,57.53,36.0369,58,-,-,-,60,2,2016/08/31,2016/08/31
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pLM33,NC_014255.1,GU244485,32.307,36.1501,37,-,-,-,37,-,2010/06/21,2014/12/18
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NC_021828.1,CP006595,57.557,36.0321,57,-,-,-,60,3,2013/07/22,2015/08/15
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NC_022045.1,CP006611,148.959,37.0458,147,-,-,-,158,11,2013/08/09,2015/08/18
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NC_022046.1,CP006612,55.804,34.9222,58,-,-,-,64,6,2013/08/09,2015/08/18
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NC_022047.1,CP006613,55.804,34.924,58,-,-,-,64,6,2013/08/09,2015/08/18
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NC_022051.1,CP006614,55.803,34.9211,58,-,-,-,64,6,2013/08/12,2015/08/18
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pLM5578,NZ_CP019166.1,CP019166,77.105,36.5917,77,-,-,-,81,4,2017/01/19,2017/01/19
"Listeria monocytogenes",Bacteria,"Terrabacteria group","Firmicutes",pLM5578,NZ_CP019168.1,CP019168,77.105,36.5917,77,-,-,-,81,4,2017/01/19,2017/01/19
"Listeria monocytogenes 08-5578",Bacteria,"Terrabacteria group","Firmicutes",pLM5578,NC_013767.1,CP001603,77.054,36.5925,73,-,-,-,77,4,2010/01/27,2015/08/16
"Listeria monocytogenes 6179",Bacteria,"Terrabacteria group","Firmicutes",LM6179,NZ_HG813250.1,HG813250,62.206,36.5254,61,-,-,-,62,1,2014/02/10,2016/08/01
"Listeria monocytogenes FSL J1-208",Bacteria,"Terrabacteria group","Firmicutes",pLMIV,NZ_CM001470.1,CM001470,77.825,34.0161,74,-,-,-,77,3,2012/11/21,2015/08/01
"Listeria monocytogenes R479a",Bacteria,"Terrabacteria group","Firmicutes",II,NZ_HG813248.1,HG813248,86.652,36.9836,82,-,-,-,88,6,2014/03/23,2016/08/01
"Listeria monocytogenes serotype 7 str. SLCC2482",Bacteria,"Terrabacteria group","Firmicutes",pLM7UG1,NC_018888.1,FR667690,50.1,35.479,51,-,-,-,53,2,2010/09/08,2016/08/01
"Listeria monocytogenes SLCC2372",Bacteria,"Terrabacteria group","Firmicutes",pLM1-2cUG1,NC_018889.1,FR667691,50.1,35.481,52,-,-,-,53,1,2010/09/08,2016/08/01
"Listeria monocytogenes SLCC2755",Bacteria,"Terrabacteria group","Firmicutes",pLM1-2bUG1,NC_014495.1,FR667692,57.78,36.0384,56,-,-,-,61,5,2010/09/08,2016/08/19
"Loktanella hongkongensis DSM 17492",Bacteria,"Proteobacteria","Alphaproteobacteria",pLokhon01,NZ_CM002675.1,CM002675,85.337,69.9954,82,-,-,-,84,2,2014/12/24,2016/06/04
"Loktanella hongkongensis DSM 17492",Bacteria,"Proteobacteria","Alphaproteobacteria",pLokhon02,NZ_CM002676.1,CM002676,103.367,69.439,86,-,-,-,86,-,2014/12/24,2016/06/04
"Lysinibacillus sphaericus",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NZ_CP014644.1,CP014644,176.083,32.9941,201,-,-,-,201,-,2016/03/09,2016/03/09
"Lysinibacillus sphaericus",Bacteria,"Terrabacteria group","Firmicutes",unnamed,NZ_CP014857.1,CP014857,173.793,33.3454,200,-,-,-,200,-,2016/03/29,2016/03/29
"Lysinibacillus sphaericus",Bacteria,"Terrabacteria group","Firmicutes",pLG,NC_005242.1,AY325804,11.066,37.4661,23,-,-,-,23,-,2003/12/03,2014/12/17
"Lysinibacillus sphaericus C3-41",Bacteria,"Terrabacteria group","Firmicutes",pBsph,-,CP000818,177.642,33.102,187,-,-,-,187,-,2008/02/27,2016/07/26
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL1,NC_011995.1,AP009485,15.667,28.1803,16,-,-,-,16,-,2009/01/29,2016/10/12
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL2,NC_011996.1,AP009486,80.545,30.8176,84,-,-,-,84,-,2009/01/29,2016/10/12
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL3,NC_011997.1,AP009487,2.131,32.7076,2,-,-,-,2,-,2009/01/29,2016/10/12
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL4,NC_011998.1,AP009488,3.417,33.0699,3,-,-,-,3,-,2009/01/29,2016/10/12
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL5,NC_012000.1,AP009489,4.398,31.6053,5,-,-,-,5,-,2009/01/29,2016/10/12
"Macrococcus caseolyticus JCSC5402",Bacteria,"Terrabacteria group","Firmicutes",pMCCL6,NC_012001.1,AP009490,4.226,35.1633,5,-,-,-,5,-,2009/01/29,2016/10/12
