#Organism/Name,Strain,BioSample,BioProject,Group,SubGroup,Size (Mb),GC%,Assembly,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Calidris pugnax","",SAMN03491621 ,PRJNA305421,"Animals","Birds",1229.09,42.7,GCA_001431845.1 ,-,LDEH01,3753,18583,30889,2015/11/04,2015/11/04,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/431/845/GCF_001431845.1_ASM143184v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/431/845/GCA_001431845.1_ASM143184v1
"Octopus bimaculoides","",SAMN03271701 ,PRJNA305125,"Animals","Other Animals",2338.19,37.8,GCA_001194135.1 ,-,LGKD01,151674,17587,23994,2015/07/31,2015/08/18,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/194/135/GCF_001194135.1_Octopus_bimaculoides_v2_0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/194/135/GCA_001194135.1_Octopus_bimaculoides_v2_0
"[Candida] boidinii","JCM 9604",SAMD00028343 ,PRJDB3623,"Fungi","Ascomycetes",19.3772,30.4,GCA_001599335.1 ,-,BCGP01,32,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/335/GCA_001599335.1_JCM_9604_assembly_v001
"Oryctes borbonicus","",SAMN04005096 ,PRJNA293509,"Animals","Insects",423.766,34.4,GCA_001443705.1 ,-,LJIG01,26405,8822,8822,2015/11/13,2015/11/13,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/705/GCA_001443705.1_ASM144370v1
"Naganishia albida","JCM 2334",SAMD00028377 ,PRJDB3657,"Fungi","Basidiomycetes",20.6974,53.8,GCA_001599735.1 ,-,BCHV01,74,-,-,2016/03/01,2016/03/01,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/599/735/GCA_001599735.1_JCM_2334_assembly_v001
"Rosellinia necatrix","W97",SAMD00023353 ,PRJDB3312,"Fungi","Ascomycetes",43.5177,50.1,GCA_001445595.2 ,-,BBSO02,1209,-,-,2015/10/14,2017/02/02,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/445/595/GCA_001445595.2_ASM144559v2
"Aspergillus lentulus","IFM 54703",SAMD00042548 ,PRJDB4311,"Fungi","Ascomycetes",30.9561,49.5,GCA_001445615.1 ,-,BCLY01,19,9966,9680,2015/11/13,2015/11/13,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/445/615/GCA_001445615.1_Alt_assembly01
"Lycaon pictus","",SAMN04312208 ,PRJNA304992,"Animals","Mammals",2358.14,41.1817,GCA_001887905.1 ,chromosome 1:CM007565.1; chromosome 10:CM007574.1; chromosome 11:CM007576.1; chromosome 12:CM007577.1; chromosome 13:CM007578.1; chromosome 14:CM007579.1; chromosome 15:CM007580.1; chromosome 16:CM007581.1; chromosome 17:CM007582.1; chromosome 18:CM007583.1; chromosome 19:CM007584.1; chromosome 2:CM007566.1; chromosome 20:CM007585.1; chromosome 21:CM007586.1; chromosome 22:CM007587.1; chromosome 23:CM007588.1; chromosome 24:CM007589.1; chromosome 25:CM007590.1; chromosome 26:CM007591.1; chromosome 27:CM007592.1; chromosome 28:CM007593.1; chromosome 29:CM007594.1; chromosome 3:CM007567.1; chromosome 30:CM007555.1; chromosome 31:CM007556.1; chromosome 32:CM007557.1; chromosome 33:CM007558.1; chromosome 34:CM007559.1; chromosome 35:CM007560.1; chromosome 36:CM007561.1; chromosome 37:CM007562.1; chromosome 38:CM007563.1; chromosome 4:CM007568.1; chromosome 5:CM007569.1; chromosome 6:CM007570.1; chromosome 7:CM007571.1; chromosome 8:CM007572.1; chromosome 9:CM007573.1; chromosome X:CM007575.1; chromosome Y:CM007564.1; mitochondrion MT:CM007595.1,LPRB01,803,-,-,2016/11/18,2016/12/01,Chromosome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/905/GCA_001887905.1_LycPicSAfr1.0
"Diaporthe aspalathi","",SAMN04044447 ,PRJNA295230,"Fungi","Ascomycetes",55.0299,51.6,GCA_001447215.1 ,-,LJJS01,1871,-,-,2015/11/20,2016/03/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/215/GCA_001447215.1_ASM144721v1
"Sturnus vulgaris","",SAMN04029017 ,PRJNA304638,"Animals","Birds",1036.76,41.7,GCA_001447265.1 ,-,LNCF01,2361,16813,26611,2015/11/20,2015/11/20,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/265/GCF_001447265.1_Sturnus_vulgaris-1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/265/GCA_001447265.1_Sturnus_vulgaris-1.0
"Candida sp. LDI48194","LDI48194",SAMN03573713 ,PRJNA282657,"Fungi","Ascomycetes",13.9915,33.1,GCA_001005365.1 ,-,LBNG01,367,-,-,2015/05/08,2015/11/23,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/005/365/GCA_001005365.1_ASM100536v1
"Trichinella sp. T6","",SAMN02949481 ,PRJNA257433,"Animals","Roundworms",50.8537,33.5,GCA_001447435.1 ,-,JYDK01,5951,15241,19518,2015/11/24,2016/03/08,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/435/GCA_001447435.1_T6_ISS34_r1.0
"Pseudogymnoascus sp. VKM F-3775","VKM F-3775",SAMN02400937 ,PRJNA216963,"Fungi","Ascomycetes",28.5069,49,GCA_000750715.1 ,-,JPJT01,6880,9472,9472,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/715/GCA_000750715.1_DG4
"Pseudogymnoascus sp. VKM F-3808","VKM F-3808",SAMN02324760 ,PRJNA216963,"Fungi","Ascomycetes",27.7789,50.5,GCA_000750675.1 ,-,JPJR01,3534,9929,9929,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/675/GCA_000750675.1_DG1
"Pseudogymnoascus sp. VKM F-3557","VKM F-3557",SAMN02324761 ,PRJNA216963,"Fungi","Ascomycetes",27.6499,50.2,GCA_000750665.1 ,-,JPJS01,3339,9482,9482,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/665/GCA_000750665.1_DG3
"Pseudogymnoascus sp. VKM F-4513 (FW-928)","VKM F-4513 (FW-928)",SAMN02400943 ,PRJNA216963,"Fungi","Ascomycetes",26.4407,50.9,GCA_000750755.1 ,-,JPJW01,3425,8669,8669,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/755/GCA_000750755.1_DG7
"Pseudogymnoascus sp. VKM F-4246","VKM F-4246",SAMN02400938 ,PRJNA216963,"Fungi","Ascomycetes",25.7599,51,GCA_000750735.1 ,-,JPJU01,3685,8540,8540,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/735/GCA_000750735.1_DG5
"Pseudogymnoascus sp. VKM F-4281 (FW-2241)","VKM F-4281 (FW-2241)",SAMN02400942 ,PRJNA216963,"Fungi","Ascomycetes",26.5496,50.6,GCA_000750745.1 ,-,JPJV01,3783,8728,8728,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/745/GCA_000750745.1_DG6
"Pseudogymnoascus sp. VKM F-4516 (FW-969)","VKM F-4516 (FW-969)",SAMN02400946 ,PRJNA216963,"Fungi","Ascomycetes",27.5992,50.4,GCA_000750815.1 ,-,JPJZ01,1601,9363,9363,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/815/GCA_000750815.1_DG11
"Pseudogymnoascus sp. VKM F-4515 (FW-2607)","VKM F-4515 (FW-2607)",SAMN02400945 ,PRJNA216963,"Fungi","Ascomycetes",32.0069,50.2,GCA_000750805.1 ,-,JPJY01,2437,10676,10676,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/805/GCA_000750805.1_DG10
"Pseudogymnoascus sp. VKM F-4517 (FW-2822)","VKM F-4517 (FW-2822)",SAMN02400947 ,PRJNA216963,"Fungi","Ascomycetes",32.8804,50.2,GCA_000750875.1 ,-,JPKA01,5738,10744,10744,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/875/GCA_000750875.1_DG13
"Pseudogymnoascus sp. VKM F-4514 (FW-929)","VKM F-4514 (FW-929)",SAMN02400944 ,PRJNA216963,"Fungi","Ascomycetes",27.027,50.5,GCA_000750795.1 ,-,JPJX01,3211,8865,8865,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/795/GCA_000750795.1_DG8
"Pseudogymnoascus sp. VKM F-103","VKM F-103",SAMN02400948 ,PRJNA216963,"Fungi","Ascomycetes",30.2558,50.4,GCA_000750895.1 ,-,JPKB01,1794,9802,9802,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/895/GCA_000750895.1_DG30
"Pseudogymnoascus sp. VKM F-4520 (FW-2644)","VKM F-4520 (FW-2644)",SAMN02400951 ,PRJNA216963,"Fungi","Ascomycetes",34.0964,50.4,GCA_000750995.1 ,-,JPKE01,4294,11551,11551,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/995/GCA_000750995.1_DG39
"Pseudogymnoascus sp. VKM F-4519 (FW-2642)","VKM F-4519 (FW-2642)",SAMN02400950 ,PRJNA216963,"Fungi","Ascomycetes",32.5782,50.2,GCA_000750935.1 ,-,JPKD01,3348,10630,10630,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/935/GCA_000750935.1_DG38
"Pseudogymnoascus sp. VKM F-4518 (FW-2643)","VKM F-4518 (FW-2643)",SAMN02400949 ,PRJNA216963,"Fungi","Ascomycetes",35.4794,50.2,GCA_000750925.1 ,-,JPKC01,3669,11619,11619,2014/09/09,2015/11/06,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/925/GCA_000750925.1_DG36
"Bodo saltans","Lake Konstanz",SAMEA880062 ,PRJEB10421,"Protists","Kinetoplasts",39.8644,51.6,GCA_001460835.1 ,-,CYKH01,2256,31525,18190,2015/11/19,2015/11/19,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/460/835/GCA_001460835.1_BSAL
"Aurantiochytrium sp. T66","T66",SAMN04231178 ,PRJNA301203,"Protists","Other Protists",43.4294,61.2,GCA_001462505.1 ,-,LNGJ01,1847,-,-,2015/12/09,2016/05/25,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/462/505/GCA_001462505.1_ASM146250v1
"Ptychodera flava","",SAMD00023482 ,PRJDB3182,"Animals","Other Animals",1228.69,38.4,GCA_001465055.1 ,-,BCFJ01,218255,-,-,2015/11/20,2016/04/14,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/055/GCA_001465055.1_ptychodera_flava_version_1.0.14
"Pseudocohnilembus persalinus","",SAMN03353580 ,PRJNA275811,"Protists","Other Protists",55.4554,18.8,GCA_001447515.1 ,-,LDAU01,288,13179,13179,2015/11/24,2015/11/24,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/515/GCA_001447515.1_ASM144751v1
"Trichinella patagoniensis","",SAMN02949507 ,PRJNA257433,"Animals","Roundworms",49.7732,33.6,GCA_001447655.1 ,-,JYDQ01,6623,15319,19538,2015/11/24,2016/03/08,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/655/GCA_001447655.1_T12_ISS2496_r1.0
"Debaryomyces fabryi","CBS 789",SAMN03794732 ,PRJNA309725,"Fungi","Ascomycetes",11.7009,35.6,GCA_001447935.1 ,-,LMYN01,540,6027,6027,2015/11/25,2016/03/09,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/447/935/GCF_001447935.1_debFab1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/447/935/GCA_001447935.1_debFab1.0
"Sphaeromyxa zaharoni","",SAMN03701400 ,PRJNA284326,"Animals","Other Animals",173.585,28,GCA_001455285.1 ,-,LDMZ01,70914,-,-,2015/12/02,2015/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/285/GCA_001455285.1_ASM145528v1
"Enteromyxum leei","",SAMN03701405 ,PRJNA284325,"Animals","Other Animals",67.9756,33.5,GCA_001455295.1 ,-,LDNA01,69045,-,-,2015/12/02,2015/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/295/GCA_001455295.1_ASM145529v1
"Leptographium lundbergii","CBS 138716",SAMN03700049 ,PRJNA284246,"Fungi","Ascomycetes",26.5373,56.9,GCA_001455505.1 ,-,LDEF01,411,-,-,2015/12/02,2015/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/505/GCA_001455505.1_ASM145550v1
"Cottus rhenanus","Naaf",SAMN04145896 ,PRJNA297779,"Animals","Fishes",563.609,36.8,GCA_001455555.1 ,-,LKTN01,164693,-,-,2015/12/02,2015/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/555/GCA_001455555.1_ASM145555v1
"Diplodia scrobiculata","CMW30223",SAMN03401175 ,PRJNA278001,"Fungi","Ascomycetes",34.9311,57,GCA_001455585.1 ,-,LAEG01,3772,-,-,2015/12/02,2015/12/02,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/455/585/GCA_001455585.1_Dip_scr_CMW30223_v1.0
"Polistes dominula","",SAMN02584905 ,PRJNA307991,"Animals","Insects",208.026,31.5,GCA_001465965.1 ,-,LMBU01,1483,11258,20855,2015/12/14,2015/12/14,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/465/965/GCF_001465965.1_Pdom_r1.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/965/GCA_001465965.1_Pdom_r1.2
"Purpureocillium lilacinum","",SAMN04404347 ,PRJNA342689,"Fungi","Ascomycetes",38.5346,58.3,GCA_001653265.1 ,-,LSBI01,163,11850,11763,2016/05/27,2016/08/15,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/265/GCF_001653265.1_ASM165326v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/265/GCA_001653265.1_ASM165326v1
"Sanghuangporus baumii","821",SAMN04299561 ,PRJNA304358,"Fungi","Basidiomycetes",31.6414,47.6,GCA_001481415.2 ,-,LNZH02,217,8455,8455,2015/12/22,2016/07/20,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/415/GCA_001481415.2_ASM148141v2
"Trichoderma gamsii","T6085",SAMN02849381 ,PRJNA342687,"Fungi","Ascomycetes",37.9704,49,GCA_001481775.1 ,-,JPDN01,381,10943,10943,2015/12/23,2016/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/481/775/GCF_001481775.1_ASM148177v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/481/775/GCA_001481775.1_ASM148177v1
"Arabis montbretiana","",SAMN02983095 ,PRJNA258048,"Plants","Land Plants",199.12,35.8,GCA_001484125.1 ,-,LNCH01,28775,-,-,2016/01/04,2016/01/04,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/125/GCA_001484125.1_ASM148412v1
"Colletotrichum falcatum","Cf671",SAMN03287978 ,PRJNA272959,"Fungi","Ascomycetes",48.1864,51.6,GCA_001484525.1 ,-,LPVI01,4358,-,-,2016/01/04,2016/03/10,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/525/GCA_001484525.1_ASM148452v1
"Arabis nordmanniana","",SAMN02983203 ,PRJNA258061,"Plants","Land Plants",342.307,35,GCA_001484925.1 ,-,LNCG01,267228,-,-,2016/01/04,2016/01/04,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/484/925/GCA_001484925.1_ASM148492v1
"Heliconius ethilla aerotome","",SAMEA1919250 ,PRJEB8011,"Animals","Insects",282.527,32.6,GCA_001485985.1 ,-,FAPJ01,164030,-,-,2015/11/29,2015/11/29,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/485/985/GCA_001485985.1_Heliconius_ethilla_aerotome.09-67
"Phialocephala scopiformis","CBS 120377",SAMN04009710 ,PRJNA342682,"Fungi","Ascomycetes",48.8763,47.6,GCA_001500285.1 ,-,LKNI01,71,18659,18567,2016/01/06,2016/03/01,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/285/GCF_001500285.1_Phisc1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/500/285/GCA_001500285.1_Phisc1
"Knoxdaviesia proteae","CMW40885",SAMN03349769 ,PRJNA275563,"Fungi","Ascomycetes",35.4891,52.7,GCA_001510565.1 ,-,LNGL01,133,-,-,2016/01/11,2016/03/08,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/565/GCA_001510565.1_ASM151056v1
"Knoxdaviesia capensis","CMW40890",SAMN02743810 ,PRJNA246171,"Fungi","Ascomycetes",35.5378,52.8,GCA_001510575.1 ,-,LNGK01,29,-,-,2016/01/11,2016/03/10,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/510/575/GCA_001510575.1_ASM151057v1
"Aspergillus calidoustus","",SAMEA3134252 ,PRJEB7718,"Fungi","Ascomycetes",41.1027,51.1,GCA_001511075.1 ,-,CDMC01,78,15139,15384,2016/01/04,2016/01/04,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/511/075/GCA_001511075.1_Acal_Allpaths_LG
"Huntiella savannae","CBS 121151",SAMN03651232 ,PRJNA283473,"Fungi","Ascomycetes",28.5424,48.3,GCA_001483325.1 ,-,LCZG01,361,-,-,2015/12/30,2015/12/30,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/483/325/GCA_001483325.1_ASM148332v1
"Heliconius elevatus","",SAMEA1322882 ,PRJEB8011,"Animals","Insects",24.7588,32.7,GCA_001486085.1 ,-,FAPH01,63199,-,-,2015/11/29,2015/11/29,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/486/085/GCA_001486085.1_Heliconius_elevatus.09-343
"Heliconius pardalinus sergestus","",SAMEA1919268 ,PRJEB8011,"Animals","Insects",293.609,32.5,GCA_001486225.1 ,-,FASU01,153959,-,-,2015/11/29,2015/11/29,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/486/225/GCA_001486225.1_Heliconius_pardalinus_sergestus.09-202
"Davidsoniella virescens","CMW17339",SAMN04087260 ,PRJNA295650,"Fungi","Ascomycetes",33.428,44.6,GCA_001513805.1 ,-,LJZU01,561,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/805/GCA_001513805.1_ASM151380v1
"Fusarium temperatum","CMWF389",SAMN02700550 ,PRJNA242703,"Fungi","Ascomycetes",45.4588,47,GCA_001513835.1 ,-,LJGR01,43,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/835/GCA_001513835.1_ASM151383v1
"Ceratocystis eucalypticola","CMW9998",SAMN04019022 ,PRJNA294286,"Fungi","Ascomycetes",30.7179,48.1,GCA_001513815.1 ,-,LJOA01,959,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/815/GCA_001513815.1_ASM151381v1
"Chrysoporthe deuterocubensis","CMW 8650",SAMN03994011 ,PRJNA265023,"Fungi","Ascomycetes",43.9684,55.3,GCA_001513825.1 ,-,LJDD01,2574,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/825/GCA_001513825.1_ASM151382v1
"Thielaviopsis musarum","CMW1546",SAMN04109605 ,PRJNA296851,"Fungi","Ascomycetes",28.4176,49.2,GCA_001513885.1 ,-,LKBB01,541,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/885/GCA_001513885.1_ASM151388v1
"Graphilbum fragrans","CBS 138720",SAMN04185055 ,PRJNA298958,"Fungi","Ascomycetes",34.2709,55.7,GCA_001513895.1 ,-,LLKO01,80,-,-,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/895/GCA_001513895.1_CLC_Genomic_Workbench
"Penicillium freii","DAOM 242723",SAMN03784687 ,PRJNA277835,"Fungi","Ascomycetes",33.5464,47.4,GCA_001513925.1 ,-,LLXE01,1923,11739,11739,2016/01/13,2016/01/13,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/513/925/GCA_001513925.1_ASM151392v1
"Phytophthora nicotianae","race 1",SAMN04017960 ,PRJNA294216,"Protists","Other Protists",71.414,50.2,GCA_001482985.1 ,-,LNFP01,5317,10521,10521,2015/12/29,2015/12/29,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/482/985/GCA_001482985.1_ASM148298v1
"Rhodotorula sp. JG-1b","JG-1b",SAMN02866419 ,PRJNA195770,"Fungi","Basidiomycetes",19.3934,60.6,GCA_001541205.1 ,-,LQXB01,156,6790,6681,2016/01/26,2016/04/07,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/541/205/GCA_001541205.1_Rhosp1
"Ceraceosorus bombacis","",SAMEA2781509 ,PRJEB6935,"Fungi","Basidiomycetes",26.0901,54.9,GCA_900000165.1 ,-,CCYA01,485,8023,8022,2015/10/18,2016/06/23,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/000/165/GCA_900000165.1_Ceraceosorus_bombacis
"Plasmopara halstedii","",SAMEA2781508 ,PRJEB6932,"Protists","Other Protists",75.3218,45.7,GCA_900000015.1 ,-,CCYD01,3162,15469,15469,2015/10/18,2016/06/23,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/000/015/GCA_900000015.1_Plasmopara_halstedii_genome
"Preussia sp. BSL10","BSL10",SAMN04044471 ,PRJNA295097,"Fungi","Ascomycetes",31.4751,52.8,GCA_001553865.1 ,-,LJJI01,434,-,-,2016/02/09,2016/02/09,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/865/GCA_001553865.1_ASM155386v1
"Reticulascus tulasneorum","NRRL18230",SAMN04441882 ,PRJNA309908,"Fungi","Ascomycetes",42.8684,50.8,GCA_001557505.1 ,-,LSAX01,36,-,-,2016/02/10,2016/02/10,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/557/505/GCA_001557505.1_ASM155750v1
"Fusarium mangiferae","MRC7560",SAMEA3862491 ,PRJEB9887,"Fungi","Ascomycetes",46.2927,47.6,GCA_900044065.1 ,-,FCQH01,254,16146,15804,2016/12/06,2016/12/06,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/044/065/GCA_900044065.1_Genome_assembly_version_1
"Penicillium griseofulvum","PG3",SAMN03860337 ,PRJNA289974,"Fungi","Ascomycetes",29.1409,47.3,GCA_001561935.1 ,-,LHQR01,92,9630,9630,2016/02/16,2016/02/16,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/561/935/GCA_001561935.1_ASM156193v1
"Vitis aestivalis","",SAMN04276630 ,PRJNA302606,"Plants","Land Plants",432.755,33.8,GCA_001562795.1 ,-,LOML01,756125,-,-,2016/02/17,2016/02/17,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/562/795/GCA_001562795.1_VitisNorton_MSU1.0
"Colletotrichum nymphaeae SA-01","SA-01",SAMN02639527 ,PRJNA237763,"Fungi","Ascomycetes",49.9563,52.7,GCA_001563115.1 ,-,JEMN01,1884,14404,14404,2016/02/17,2016/02/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/115/GCA_001563115.1_CNYM01
"Colletotrichum simmondsii","CBS122122",SAMN02650484 ,PRJNA239224,"Fungi","Ascomycetes",50.4742,51.7,GCA_001563135.1 ,-,JFBX01,929,13884,13884,2016/02/17,2016/02/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/135/GCA_001563135.1_CSIM01
"Colletotrichum salicis","CBS 607.94",SAMN02644731 ,PRJNA238477,"Fungi","Ascomycetes",48.3734,52.8,GCA_001563125.1 ,-,JFFI01,2776,13783,13783,2016/02/17,2016/02/17,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/125/GCA_001563125.1_CSAL01
"Fusarium sambucinum","F-4",SAMN03331940 ,PRJNA274729,"Fungi","Ascomycetes",37.7842,47.8,GCA_001567575.1 ,-,LSRD01,961,-,-,2016/02/24,2016/03/02,Contig,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/567/575/GCA_001567575.1_Fsamv1.0
"Talaromyces pinophilus","1-95",SAMN04451644 ,PRJNA310372,"Fungi","Ascomycetes",36.4115,46.9,GCA_001571465.1 ,-,LSFK01,131,-,-,2016/02/24,2016/02/24,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/571/465/GCA_001571465.1_ASM157146v1
"Microdochium bolleyi","J235TASD1",SAMN04386150 ,PRJNA308023,"Fungi","Ascomycetes",38.835,57.1,GCA_001566295.1 ,-,LSSP01,173,13338,13165,2016/02/22,2016/05/03,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/566/295/GCA_001566295.1_Microdochium_bolleyi_v1.0
"Leucoagaricus sp. SymC.cos","SymC.cos",SAMN04045427 ,PRJNA295288,"Fungi","Basidiomycetes",119.028,44.6,GCA_001563735.1 ,-,LSHD01,20457,12915,12834,2016/02/18,2016/02/25,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/563/735/GCA_001563735.1_ASM156373v1
"Pythium oligandrum","Po37",SAMN04445819 ,PRJNA310061,"Protists","Other Protists",35.9342,53.8,GCA_001573145.1 ,-,LSAJ01,724,-,-,2016/02/25,2016/05/03,Scaffold,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/573/145/GCA_001573145.1_ASM157314v1
