#Organism/Name,BioProject,Group,SubGroup,Size (Kb),GC%,Host,Segmemts,Genes,Proteins,Release Date,Modify Date,Level
"Sweet potato leaf curl virus associated satellite",,"Satellites","unclassified",0.733,43.1,"plants", Unknown:NC_025220.1/KF716173.1,-,-,2014/10/01,2016/03/23,Complete Genome
"Leptopilina boulardi Toti-like virus",PRJNA263031,"dsRNA viruses","Totiviridae",8.021,57,"protozoa", Unknown:NC_025218.2/KF274642.2,2,2,2014/09/26,2015/12/11,Complete Genome
"Circoviridae SFBeef",PRJNA263032,"ssDNA viruses","Circoviridae",0.859,52.2,"vertebrates", Unknown:NC_025216.1/KM111537.1,1,1,2014/10/01,2016/09/01,Complete Genome
"Gyrovirus GyV7-SF",PRJNA263033,"ssDNA viruses","Circoviridae",2.439,53.4,"vertebrates", Unknown:NC_025215.1/KM111536.1,3,3,2014/10/01,2014/10/03,Complete Genome
"Cripavirus NB-1/2011/HUN",PRJNA263035,"ssRNA viruses","Dicistroviridae",9.136,34.1,"invertebrates", Unknown:NC_025219.1/KJ802403.1,-,-,2014/09/24,2014/10/03,Complete Genome
"Bat Hp-betacoronavirus/Zhejiang2013",PRJNA263036,"ssRNA viruses","Coronaviridae",31.491,41.3,"vertebrates", Unknown:NC_025217.1/KF636752.1,9,9,2014/10/01,2014/10/03,Complete Genome
"Botryosphaeria dothidea victorivirus 1",PRJNA263092,"dsRNA viruses","Totiviridae",5.322,57.6,"fungi", Unknown:NC_025214.1/KM051424.1,2,2,2014/09/27,2014/10/04,Complete Genome
"Swan circovirus",PRJNA263507,"ssDNA viruses","Circoviridae",1.783,50.9,"vertebrates", Unknown:NC_025247.1/EU056309.1,2,2,2008/02/25,2014/10/14,Complete Genome
"Silurus glanis circovirus",PRJNA263599,"ssDNA viruses","Circoviridae",1.966,49,"vertebrates", Unknown:NC_025246.1/JQ011377.1,2,2,2012/05/08,2014/10/14,Complete Genome
"Vanilla distortion mosaic virus",PRJNA263828,"ssRNA viruses","Potyviridae",9.553,47.5,"plants", Unknown:NC_025250.1/KF906523.1,1,1,2014/10/13,2014/10/15,Complete Genome
"Bokeloh bat lyssavirus",PRJNA263847,"ssRNA viruses","Rhabdoviridae",11.9,45.1,"vertebrates, human", Unknown:NC_025251.1/JF311903.1,5,5,2011/08/09,2014/10/15,Complete Genome
"Maraba virus",PRJNA263848,"ssRNA viruses","Rhabdoviridae",11.135,42.3,"vertebrates,human", Unknown:NC_025255.1/HQ660076.1,5,6,2011/06/22,2014/10/15,Complete Genome
"Farmington virus",PRJNA263849,"ssRNA viruses","Rhabdoviridae",12.233,51.5,"vertebrates", Unknown:NC_025253.1/KC602379.1,5,5,2013/08/12,2014/10/15,Complete Genome
"Yam virus X",PRJNA263850,"ssRNA viruses","Alphaflexiviridae",6.158,44,"plants", Unknown:NC_025252.1/KJ711908.1,5,5,2014/10/13,2014/10/15,Complete Genome
"Carrot thin leaf virus",PRJNA263851,"ssRNA viruses","Potyviridae",9.491,41.2,"plants", Unknown:NC_025254.1/JX156434.1,1,1,2013/07/12,2014/10/15,Complete Genome
"Bat Paramyxovirus Eid_hel/GH-M74a/GHA/2009",PRJNA263908,"ssRNA viruses","Paramyxoviridae",18.53,40.2,"vertebrates", Unknown:NC_025256.1/HQ660129.1,7,7,2012/04/18,2014/10/15,Complete Genome
"Erinnyis ello granulovirus",PRJNA263949,"dsDNA viruses, no RNA stage","Baculoviridae",102.759,38.7,"invertebrates", Unknown:NC_025257.1/KJ406702.1,130,130,2014/10/13,2014/10/16,Complete Genome
"Sea otter polyomavirus 1",PRJNA263990,"dsDNA viruses, no RNA stage","Polyomaviridae",5.145,46.5,"vertebrates", Unknown:NC_025259.1/KM282376.1,6,6,2014/10/08,2016/01/07,Complete Genome
"Tomato mottle wrinkle virus",PRJNA264185,"ssDNA viruses","Geminiviridae",5.124,39.0021,"plants", DNA A:NC_025265.1/JQ714137.2;  DNA B:NC_025266.1/JQ714138.2,8,8,2013/05/29,2014/10/17,Complete Genome
"Long Island tick rhabdovirus",PRJNA264895,"ssRNA viruses","Rhabdoviridae",11.176,49.5,"invertebrates", Unknown:NC_025340.1/KJ396935.1,5,5,2014/03/16,2014/10/27,Complete Genome
"Sosuga virus",PRJNA264896,"ssRNA viruses","Paramyxoviridae",15.48,42.4,"vertebrates, human", Unknown:NC_025343.1/KF774436.1,7,7,2014/01/29,2014/10/27,Complete Genome
"Kolente virus",PRJNA264897,"ssRNA viruses","Rhabdoviridae",11.12,45.1,"vertebrates, invertebrates", Unknown:NC_025342.1/KC984953.1,5,5,2013/11/30,2014/10/27,Complete Genome
"Canine pneumovirus",PRJNA264898,"ssRNA viruses","Pneumoviridae",14.885,40.2,"vertebrates", Unknown:NC_025344.1/KF015281.1,10,11,2014/01/18,2014/10/27,Complete Genome
"Fikirini bat rhabdovirus",PRJNA264899,"ssRNA viruses","Rhabdoviridae",11.139,44.7,"vertebrates", Unknown:NC_025341.1/KC676792.1,5,5,2013/10/27,2014/10/27,Complete Genome
"Vesicular stomatitis Alagoas virus",PRJNA264901,"ssRNA viruses","Rhabdoviridae",11.07,42.6,"vertebrates", Unknown:NC_025353.1/EU373658.1,6,5,2008/06/11,2014/10/27,Complete Genome
"Sunshine Coast virus",PRJNA264902,"ssRNA viruses","Sunviridae",17.187,37.1,"vertebrates", Unknown:NC_025345.1/JN192445.1,6,6,2012/06/04,2014/10/27,Complete Genome
"Atlantic salmon paramyxovirus",PRJNA264907,"ssRNA viruses","Paramyxoviridae",16.968,45.9,"vertebrates, human", Unknown:NC_025360.1/EU156171.1,6,9,2008/04/09,2014/10/27,Complete Genome
"Berrimah virus",PRJNA264908,"ssRNA viruses","Rhabdoviridae",15.024,34.2,"vertebrates", Unknown:NC_025358.1/HM461974.1,9,10,2012/06/16,2014/10/27,Complete Genome
"West Caucasian bat lyssavirus",PRJNA264909,"ssRNA viruses","Rhabdoviridae",12.278,42.4,"vertebrates, human", Unknown:NC_025377.1/EF614258.1,5,5,2008/06/01,2014/10/27,Complete Genome
"Pike fry rhabdovirus",PRJNA264911,"ssRNA viruses","Rhabdoviridae",11.097,43.4,"vertebrates", Unknown:NC_025356.1/FJ872827.1,5,5,2009/04/27,2014/10/27,Complete Genome
"Avian paramyxovirus 3",PRJNA264912,"ssRNA viruses","Paramyxoviridae",16.182,41.8,"vertebrates, human", Unknown:NC_025373.1/EU782025.1,6,6,2010/03/26,2014/10/27,Complete Genome
"Ustilaginoidea virens RNA virus M",PRJNA264913,"dsRNA viruses","Totiviridae",2.714,58.5,"fungi", Unknown:NC_025367.1/KJ101567.1,1,1,2014/10/20,2014/10/27,Complete Genome
"Ustilaginoidea virens RNA virus L",PRJNA264914,"dsRNA viruses","Totiviridae",5.654,55.9,"fungi", Unknown:NC_025366.1/KJ101566.1,2,2,2014/10/20,2015/02/11,Complete Genome
"Goutanap virus",PRJNA264915,"ssRNA viruses","unclassified",9.165,33.4,"invertebrates", Unknown:NC_025357.1/KF588035.1,3,3,2014/09/27,2014/11/19,Complete Genome
"Avian paramyxovirus 12",PRJNA264916,"ssRNA viruses","Paramyxoviridae",15.312,45,"vertebrates, human", Unknown:NC_025363.1/KC333050.1,6,6,2013/03/24,2014/10/27,Complete Genome
"Grass carp rhabdovirus V76",PRJNA264917,"ssRNA viruses","Rhabdoviridae",11.096,44.4,"vertebrates", Unknown:NC_025376.1/KC113518.1,5,5,2013/02/05,2014/10/27,Complete Genome
"Tench rhabdovirus S64",PRJNA264918,"ssRNA viruses","Rhabdoviridae",11.082,44,"vertebrates", Unknown:NC_025371.1/KC113517.1,5,5,2013/02/05,2014/10/27,Complete Genome
"Xiburema virus",PRJNA264919,"ssRNA viruses","Rhabdoviridae",12.24,40,"invertebrates", Unknown:NC_025362.1/KJ636781.1,7,7,2014/05/17,2014/10/27,Complete Genome
"Mamastrovirus 3",PRJNA264920,"ssRNA viruses","Astroviridae",6.706,47.8,"vertebrates", Unknown:NC_025379.1/KF787112.2,2,2,2014/02/08,2014/10/27,Complete Genome
"Cedar virus",PRJNA264921,"ssRNA viruses","Paramyxoviridae",18.162,37.2,"vertebrates, human", Unknown:NC_025351.1/JQ001776.1,6,7,2012/08/19,2014/10/27,Complete Genome
"Yug Bogdanovac virus",PRJNA264922,"ssRNA viruses","Rhabdoviridae",11.202,47.3,"vertebrates, human", Unknown:NC_025378.1/JF911700.1,5,5,2012/10/17,2014/10/27,Complete Genome
"Rabbit astrovirus TN/2208/2010",PRJNA264923,"ssRNA viruses","Astroviridae",7.353,51.1,"vertebrates", Unknown:NC_025346.1/JF729316.1,3,3,2012/09/27,2014/10/27,Complete Genome
"Tailam virus",PRJNA264924,"ssRNA viruses","Paramyxoviridae",19.152,39.6,"vertebrates, human", Unknown:NC_025355.1/JN689227.1,8,11,2011/12/04,2016/03/24,Complete Genome
"Gorilla gorilla gorilla polyomavirus 1",PRJNA264925,"dsDNA viruses, no RNA stage","Polyomaviridae",5.3,42.2,"vertebrates", Unknown:NC_025380.1/HQ385752.1,5,5,2010/11/23,2014/10/27,Complete Genome
"Pan troglodytes verus polyomavirus 2a",PRJNA264927,"dsDNA viruses, no RNA stage","Polyomaviridae",5.309,40.9,"vertebrates", Unknown:NC_025370.1/HQ385748.1,5,5,2010/11/23,2015/01/23,Complete Genome
"Pan troglodytes verus polyomavirus 1a",PRJNA264928,"dsDNA viruses, no RNA stage","Polyomaviridae",5.303,40.4,"vertebrates", Unknown:NC_025368.1/HQ385746.1,5,5,2010/11/23,2014/12/10,Complete Genome
"Malpais Spring virus",PRJNA264930,"ssRNA viruses","Rhabdoviridae",11.019,41.6,"invertebrates", Unknown:NC_025364.1/KC412247.1,5,5,2013/03/30,2014/10/27,Complete Genome
"Avian paramyxovirus penguin/Falkland Islands/324/2007",PRJNA264931,"ssRNA viruses","Paramyxoviridae",15.456,42,"vertebrates, human",NC_025349.2/HM147142.2,6,6,2010/07/17,2016/06/10,Complete Genome
"Tuhoko virus 3",PRJNA264932,"ssRNA viruses","Paramyxoviridae",15.234,41.8,"vertebrates, human", Unknown:NC_025350.1/GU128082.1,7,7,2010/06/21,2014/10/27,Complete Genome
"Tuhoko virus 2",PRJNA264933,"ssRNA viruses","Paramyxoviridae",15.432,40.6,"vertebrates, human", Unknown:NC_025348.1/GU128081.1,7,7,2010/06/21,2014/10/27,Complete Genome
"Shimoni bat lyssavirus",PRJNA264934,"ssRNA viruses","Rhabdoviridae",12.045,39.1,"vertebrates, human", Unknown:NC_025365.1/GU170201.1,5,5,2010/03/23,2014/10/27,Complete Genome
"Avian paramyxovirus 5",PRJNA264935,"ssRNA viruses","Paramyxoviridae",17.262,40.1,"vertebrates, human", Unknown:NC_025361.1/GU206351.1,6,8,2010/03/10,2014/10/27,Complete Genome
"Avian paramyxovirus 7",PRJNA264937,"ssRNA viruses","Paramyxoviridae",15.48,39.1,"vertebrates, human", Unknown:NC_025347.1/FJ231524.1,6,6,2009/07/10,2014/10/27,Complete Genome
"Stygiolobus rod-shaped virus",PRJNA264938,"dsDNA viruses, no RNA stage","Rudiviridae",28.096,29.3,"archaea", Unknown:NC_025375.1/FM164764.1,37,37,2008/10/03,2014/10/27,Complete Genome
"Curionopolis virus",PRJNA264939,"ssRNA viruses","Rhabdoviridae",13.169,41.5,"invertebrates", Unknown:NC_025354.1/KJ701190.1,8,8,2014/07/05,2014/12/02,Complete Genome
"Moussa virus",PRJNA264964,"ssRNA viruses","Rhabdoviridae",11.526,41.5,"invertebrates", Unknown:NC_025359.1/FJ985748.1,5,5,2009/12/14,2014/10/27,Complete Genome
"Mojiang virus",PRJNA264966,"ssRNA viruses","Paramyxoviridae",18.406,38.8,"vertebrates, human", Unknown:NC_025352.1/KF278639.1,6,9,2014/03/19,2014/10/27,Complete Genome
"Spodoptera frugiperda rhabdovirus",PRJNA264993,"ssRNA viruses","Rhabdoviridae",13.534,40.5,"invertebrates", Unknown:NC_025382.1/KF947078.1,6,6,2014/04/02,2014/10/30,Complete Genome
"Culex tritaeniorhynchus rhabdovirus",PRJNA265832,"ssRNA viruses","Rhabdoviridae",11.19,53.9,"invertebrates", Unknown:NC_025384.1/AB604791.1,5,5,2011/06/16,2014/10/30,Complete Genome
"Sclerotinia sclerotiorum negative-stranded RNA virus 1",PRJNA265833,"ssRNA viruses","Mymonaviridae",10.002,38.8,"fungi", Unknown:NC_025383.1/KJ186782.1,6,6,2014/04/16,2014/10/30,Complete Genome
"Khujand lyssavirus",PRJNA265878,"ssRNA viruses","Rhabdoviridae",11.903,44.4,"vertebrates, human", Unknown:NC_025385.1/EF614261.1,5,5,2008/06/01,2014/10/31,Complete Genome
"Almpiwar virus",PRJNA265890,"ssRNA viruses","Rhabdoviridae",11.156,38,"vertebrates", Unknown:NC_025391.1/KJ399977.1,6,8,2014/05/10,2014/11/09,Complete Genome
"Boiling Springs Lake RNA-DNA hybrid virus",PRJNA265891,"Other","Other",4.089,38.6,"environment", Unknown:NC_025411.1/JN900499.1,3,3,2012/04/21,2014/10/31,Complete Genome
"Porcine parainfluenza virus 1",PRJNA265892,"ssRNA viruses","Paramyxoviridae",15.396,37.4,"vertebrates, human", Unknown:NC_025402.1/JX857409.1,6,9,2013/07/23,2014/10/31,Complete Genome
"Niakha virus",PRJNA265893,"ssRNA viruses","Rhabdoviridae",11.124,40.1,"invertebrates", Unknown:NC_025405.1/KC585008.1,5,5,2013/06/29,2014/10/31,Complete Genome
"Achimota virus 2",PRJNA265895,"ssRNA viruses","Paramyxoviridae",15.504,42.1,"vertebrates, human", Unknown:NC_025404.1/JX051320.1,6,8,2012/11/24,2014/10/31,Complete Genome
"Achimota virus 1",PRJNA265896,"ssRNA viruses","Paramyxoviridae",15.624,40,"vertebrates, human", Unknown:NC_025403.1/JX051319.1,6,8,2012/11/24,2014/10/31,Complete Genome
"Malakal virus",PRJNA265897,"ssRNA viruses","Rhabdoviridae",15.444,35.5,"invertebrates", Unknown:NC_025400.1/JQ941707.1,9,10,2012/09/18,2014/10/31,Complete Genome
"Salem virus",PRJNA265898,"ssRNA viruses","Paramyxoviridae",16.698,42.3,"vertebrates, human", Unknown:NC_025386.1/JQ697837.1,6,8,2012/07/03,2014/10/31,Complete Genome
"Avian paramyxovirus 11",PRJNA265899,"ssRNA viruses","Paramyxoviridae",17.412,39,"vertebrates, human", Unknown:NC_025407.1/JQ886184.1,7,7,2012/07/04,2014/10/31,Complete Genome
"Scophthalmus maximus rhabdovirus",PRJNA265900,"ssRNA viruses","Rhabdoviridae",11.492,49.2,"vertebrates", Unknown:NC_025387.1/HQ003891.1,7,7,2010/12/27,2014/10/31,Complete Genome
"Jurona virus",PRJNA265901,"ssRNA viruses","Rhabdoviridae",11.121,42,"vertebrates", Unknown:NC_025392.1/HM566194.1,5,5,2012/05/03,2014/10/31,Complete Genome
"Tuhoko virus 1",PRJNA265902,"ssRNA viruses","Paramyxoviridae",15.888,40.6,"vertebrates, human", Unknown:NC_025410.1/GU128080.1,7,7,2010/06/21,2014/10/31,Complete Genome
"Coastal Plains virus",PRJNA265903,"ssRNA viruses","Rhabdoviridae",13.203,36,"vertebrates", Unknown:NC_025397.1/GQ294473.1,8,9,2010/06/30,2014/10/31,Complete Genome
"Lyssavirus Ozernoe",PRJNA265904,"ssRNA viruses","Rhabdoviridae",11.98,44.7,"vertebrates, human", Unknown:NC_025408.1/FJ905105.2,5,5,2009/05/12,2014/10/31,Complete Genome
"Avian paramyxovirus 9",PRJNA265905,"ssRNA viruses","Paramyxoviridae",15.438,44.6,"vertebrates, human", Unknown:NC_025390.1/EU910942.1,6,6,2009/03/06,2014/10/31,Complete Genome
"Eggplant mottled dwarf virus",PRJNA265906,"ssRNA viruses","Rhabdoviridae",13.1,43.4,"invertebrates, plants", Unknown:NC_025389.1/KJ082087.1,7,7,2014/03/26,2014/10/31,Complete Genome
"Asian prunus virus 1",PRJNA265907,"ssRNA viruses","Betaflexiviridae",9.409,45,"plants", Unknown:NC_025388.1/FJ824737.1,5,5,2009/08/15,2014/10/31,Complete Genome
"Oak-Vale virus",PRJNA265908,"ssRNA viruses","Rhabdoviridae",11.22,45.6,"invertebrates", Unknown:NC_025399.1/JF705876.1,6,7,2011/08/17,2014/10/31,Complete Genome
"Perinet virus",PRJNA265909,"ssRNA viruses","Rhabdoviridae",11.103,41.2,"invertebrates", Unknown:NC_025394.1/HM566195.1,5,5,2012/05/03,2014/10/31,Complete Genome
"Kimberley virus",PRJNA265910,"ssRNA viruses","Rhabdoviridae",15.442,35.3,"vertebrates", Unknown:NC_025396.1/JQ941664.1,9,9,2012/09/18,2014/10/31,Complete Genome
"Dolphin rhabdovirus",PRJNA265911,"ssRNA viruses","Rhabdoviridae",11.141,38.6,"vertebrates", Unknown:NC_025406.1/KF958252.1,5,5,2014/06/24,2014/10/31,Complete Genome
"Sunguru virus",PRJNA265912,"ssRNA viruses","Rhabdoviridae",11.056,40.1,"vertebrates", Unknown:NC_025401.1/KF395226.1,7,7,2014/04/28,2014/10/31,Complete Genome
"Puerto Almendras virus",PRJNA265913,"ssRNA viruses","Rhabdoviridae",11.876,31.2,"vertebrates", Unknown:NC_025395.1/KF534749.1,8,6,2014/04/06,2014/10/31,Complete Genome
"Arboretum virus",PRJNA265914,"ssRNA viruses","Rhabdoviridae",11.482,31.3,"invertebrates", Unknown:NC_025393.1/KC994644.1,6,6,2014/04/06,2014/10/31,Complete Genome
"Melbournevirus",PRJNA265987,"dsDNA viruses, no RNA stage","Marseilleviridae",369.36,44.7,"protozoa", Unknown:NC_025412.1/KM275475.1,403,403,2014/10/19,2016/05/01,Complete Genome
"Feline morbillivirus",PRJNA264182,"ssRNA viruses","Paramyxoviridae",16.004,35,"vertebrates, human", Unknown:NC_025264.1/AB924120.1,6,6,2014/10/09,2014/10/22,Complete Genome
"Feline cyclovirus",PRJNA258099,"ssDNA viruses","Circoviridae",1.773,36.5,"vertebrates", Unknown:NC_024700.1/KM017740.1,2,2,2014/08/11,2014/11/25,Complete Genome
"Penicillium roqueforti ssRNA mycovirus 1",PRJNA258162,"ssRNA viruses","Fusarividae",6.002,49.8,"fungi", Unknown:NC_024699.1/KJ817266.1,2,2,2014/08/12,2014/11/25,Complete Genome
"Synedrella leaf curl alphasatellite",PRJNA263034,"Satellites","unclassified",1.359,42.2,"plants", Unknown:NC_025244.1/KJ939346.1,1,1,2014/09/29,2014/11/06,Complete Genome
"T4virus",PRJNA261534,"dsDNA viruses, no RNA stage","Myoviridae",1847.83,35.3726,"bacteria",NC_025448.1/KM607000.1; KM606996.1; KM606995.1; KM607003.1; KM606997.1; KM606998.1; KM606999.1; KM607001.1; KM607002.1; NC_025419.1/KM606994.1; NC_027979.1/KM607004.1,3125,3000,2014/10/22,2015/01/29,Complete
"Bacillus phage Waukesha92",PRJNA266641,"dsDNA viruses, no RNA stage","Siphoviridae",45.648,35.5,"bacteria", Unknown:NC_025424.1/KJ920400.1,72,72,2014/06/23,2014/11/10,Complete Genome
"Staphylococcus phage P108",PRJNA266646,"dsDNA viruses, no RNA stage","Myoviridae",140.807,30.2,"bacteria", Unknown:NC_025426.1/KM216423.1,229,226,2014/08/26,2014/11/10,Complete Genome
"Lactobacillus phage Ld3",PRJNA266647,"dsDNA viruses, no RNA stage","Siphoviridae",29.616,41.7,"bacteria", Unknown:NC_025421.1/KJ564038.1,49,49,2014/07/19,2014/11/10,Complete Genome
"Lactobacillus phage Ld25A",PRJNA266648,"dsDNA viruses, no RNA stage","Siphoviridae",32.799,41.7,"bacteria", Unknown:NC_025415.1/KJ564036.1,51,51,2014/07/19,2014/11/10,Complete Genome
"Lactobacillus phage Ld17",PRJNA266649,"dsDNA viruses, no RNA stage","Siphoviridae",32.975,41.5,"bacteria", Unknown:NC_025420.1/KJ564037.1,50,50,2014/07/19,2014/11/10,Complete Genome
"Mycobacterium phage RedRock",PRJNA266660,"dsDNA viruses, no RNA stage","Siphoviridae",53.332,64.5,"bacteria", Unknown:NC_025444.1/GU339467.1,96,95,2010/02/01,2014/11/10,Complete Genome
"Rhizobium phage vB_RleM_PPF1",PRJNA266675,"dsDNA viruses, no RNA stage","Myoviridae",54.506,61.9,"bacteria", Unknown:NC_025427.1/KJ746502.1,94,94,2014/06/21,2016/05/31,Complete Genome
"Ruegeria phage DSS3-P1",PRJNA266767,"dsDNA viruses, no RNA stage","Siphoviridae",59.601,64.1,"bacteria", Unknown:NC_025428.1/KM581061.1,82,82,2014/10/13,2014/11/10,Complete Genome
"Escherichia phage 121Q",PRJNA266768,"dsDNA viruses, no RNA stage","Myoviridae",348.532,34.1,"bacteria", Unknown:NC_025447.1/KM507819.1,618,611,2014/10/13,2014/11/10,Complete Genome
"Lelliottia phage phD2B",PRJNA266769,"dsDNA viruses, no RNA stage","Podoviridae",44.366,51,"bacteria", Unknown:NC_025450.1/KM370384.1,49,49,2014/09/09,2015/02/04,Complete Genome
"Salmonella phage Chi",PRJNA266770,"dsDNA viruses, no RNA stage","Siphoviridae",59.578,56.5,"bacteria", Unknown:NC_025442.1/KM458633.1,75,75,2014/10/27,2015/01/30,Complete Genome
"Escherichia phage vB_EcoM-ep3",PRJNA266771,"dsDNA viruses, no RNA stage","Myoviridae",42.351,53.3,"bacteria", Unknown:NC_025430.1/KM360178.1,51,51,2014/09/10,2015/08/21,Complete Genome
"Yersinia phage vB_YenP_AP5",PRJNA266772,"dsDNA viruses, no RNA stage","Podoviridae",38.646,50.7,"bacteria", Unknown:NC_025451.1/KM253764.1,45,45,2014/09/09,2014/11/26,Complete Genome
"Idiomarinaceae phage 1N2-2",PRJNA266773,"dsDNA viruses, no RNA stage","unclassified",34.773,52,"bacteria", Unknown:NC_025439.1/KJ847052.1,56,56,2014/09/09,2014/11/10,Complete Genome
"Mesorhizobium phage vB_MloP_Lo5R7ANS",PRJNA266774,"dsDNA viruses, no RNA stage","Podoviridae",45.718,61.1,"bacteria", Unknown:NC_025431.1/KM199771.1,64,64,2014/08/26,2014/11/10,Complete Genome
"Rhizobium phage vB_RleM_P10VF",PRJNA266775,"dsDNA viruses, no RNA stage","Myoviridae",156.446,49.9,"bacteria", Unknown:NC_025429.1/KM199770.1,257,257,2014/08/26,2014/11/10,Complete Genome
"Aeromonas phage pAh6-C",PRJNA266776,"dsDNA viruses, no RNA stage","Myoviridae",53.744,52.8,"bacteria", Unknown:NC_025459.1/KJ858521.1,86,86,2014/08/06,2014/11/10,Complete Genome
"Acinetobacter phage vB_AbaP_Acibel007",PRJNA266777,"dsDNA viruses, no RNA stage","Podoviridae",42.654,41.2,"bacteria", Unknown:NC_025457.1/KJ473423.1,53,53,2014/08/18,2014/11/10,Complete Genome
"Acinetobacter phage vB_AbaM_Acibel004",PRJNA266778,"dsDNA viruses, no RNA stage","Myoviridae",99.73,37.3,"bacteria", Unknown:NC_025462.1/KJ473422.1,178,156,2014/08/18,2014/11/10,Complete Genome
"Shewanella sp. phage 1/4",PRJNA266782,"dsDNA viruses, no RNA stage","Myoviridae",133.824,36.9,"bacteria", Unknown:NC_025436.1/KJ018209.1,238,235,2014/09/15,2014/11/10,Complete Genome
"Mycobacterium phage Soto",PRJNA266783,"dsDNA viruses, no RNA stage","Siphoviridae",67.744,66.6,"bacteria", Unknown:NC_025438.1/KJ174157.1,98,98,2014/03/02,2014/11/10,Complete Genome
"Synechococcus phage S-CBP1",PRJNA266784,"dsDNA viruses, no RNA stage","Podoviridae",46.547,47.6,"bacteria", Unknown:NC_025456.1/KC310802.1,51,50,2014/10/24,2015/12/03,Complete Genome
"Enterococcus phage EfaCPT1",PRJNA266785,"dsDNA viruses, no RNA stage","Siphoviridae",40.923,34.6,"bacteria", Unknown:NC_025465.1/JX193904.1,69,69,2012/07/28,2014/11/10,Complete Genome
"Escherichia phage ECML-134",PRJNA266786,"dsDNA viruses, no RNA stage","Myoviridae",166.783,35.4,"bacteria", Unknown:NC_025449.1/JX128259.1,270,270,2012/07/28,2014/11/10,Complete Genome
"Mycobacterium phage Taj",PRJNA266787,"dsDNA viruses, no RNA stage","Siphoviridae",58.55,61.9,"bacteria", Unknown:NC_025433.1/JX121091.1,110,110,2012/07/28,2014/11/10,Complete Genome
"Enterococcus phage vB_Efae230P-4",PRJNA266788,"dsDNA viruses, no RNA stage","Podoviridae",17.972,32.8,"bacteria", Unknown:NC_025467.1/JQ309827.1,25,25,2014/06/30,2015/09/14,Complete Genome
"Salmonella phage 9NA",PRJNA266789,"dsDNA viruses, no RNA stage","Podoviridae",52.869,42.9,"bacteria", Unknown:NC_025443.1/KJ802832.1,84,84,2014/06/08,2014/11/10,Complete Genome
"Idiomarinaceae phage Phi1M2-2",PRJNA267261,"dsDNA viruses, no RNA stage","Siphoviridae",36.844,51.3,"bacteria", Unknown:NC_025471.1/KM226324.1,65,65,2014/09/09,2014/11/14,Complete Genome
"Fako virus",PRJNA267263,"dsRNA viruses","Reoviridae",23.17,33.2568,"invertebrates", 1:NC_025487.1/KM978415.1;  2:NC_025486.1/KM978416.1;  3:NC_025493.1/KM978417.1;  4:NC_025488.1/KM978418.1;  5:NC_025485.1/KM978419.1;  6:NC_025492.1/KM978420.1;  7:NC_025491.1/KM978421.1;  8:NC_025489.1/KM978422.1;  9:NC_025490.1/KM978423.1,9,9,2014/11/10,2014/11/14,Complete Genome
"Cyclovirus ZM36a",PRJNA267266,"ssDNA viruses","Circoviridae",1.865,46.7,"vertebrates", Unknown:NC_025476.1/AB937982.1,2,2,2014/10/31,2015/07/01,Complete Genome
"Po-Circo-like virus 21",PRJNA268176,"ssDNA viruses","Circoviridae",3.912,39.1,"vertebrates", Unknown:NC_025682.1/JF713716.1,5,5,2011/11/02,2014/11/24,Complete Genome
"Po-Circo-like virus 51",PRJNA268200,"ssDNA viruses","Circoviridae",2.833,41.8,"vertebrates", Unknown:NC_025684.1/JF713719.1,3,3,2011/11/02,2014/11/24,Complete Genome
"Po-Circo-like virus 41",PRJNA268201,"ssDNA viruses","Circoviridae",2.904,41.7,"vertebrates", Unknown:NC_025683.1/JF713718.1,3,3,2011/11/02,2014/11/24,Complete Genome
"Staphylococcus phage MCE-2014",PRJNA266640,"dsDNA viruses, no RNA stage","Myoviridae",141.907,30.4,"bacteria", Unknown:NC_025416.1/KJ888149.1,204,204,2014/09/02,2014/11/25,Complete Genome
"Bacillus phage CP-51",PRJNA266642,"dsDNA viruses, no RNA stage","Myoviridae",138.658,40.9,"bacteria", Unknown:NC_025423.1/KF554508.2,221,221,2014/06/23,2014/11/25,Complete Genome
"Caulobacter phage Cr30",PRJNA266643,"dsDNA viruses, no RNA stage","Myoviridae",155.997,37.8,"bacteria", Unknown:NC_025422.1/KF301602.1,291,286,2014/07/01,2014/11/25,Complete Genome
"Staphylococcus phage Team1",PRJNA266644,"dsDNA viruses, no RNA stage","Myoviridae",140.903,30.3,"bacteria", Unknown:NC_025417.1/KC012913.1,221,217,2014/07/29,2014/11/25,Complete Genome
"Klebsiella phage NTUH-K2044-K1-1",PRJNA266645,"dsDNA viruses, no RNA stage","Podoviridae",43.871,54.2,"bacteria", Unknown:NC_025418.1/AB716666.1,35,35,2014/07/04,2015/08/18,Complete Genome
"Shigella phage Shf125875",PRJNA266712,"dsDNA viruses, no RNA stage","Myoviridae",169.062,37.6,"bacteria", Unknown:NC_025437.1/KM407600.1,269,267,2014/09/10,2014/11/25,Complete Genome
"Listeria phage WIL-1",PRJNA266713,"dsDNA viruses, no RNA stage","Myoviridae",134.369,36,"bacteria", Unknown:NC_025440.1/KM373208.1,38,38,2014/09/10,2014/11/25,Chromosome
"Enterobacteria phage J8-65",PRJNA266714,"dsDNA viruses, no RNA stage","Podoviridae",40.981,55.7,"bacteria", Unknown:NC_025445.1/KM247287.1,47,47,2014/09/09,2014/11/25,Complete Genome
